interaction_id,date,customer_id,product_type,customer_tier,tenure_months,queue,interaction_type,agent_id,agent_tenure_months,sentiment_score,duration_sec,agent_disposition,transferred_flag,department_transferred,disconnected_by,legal_mention,high_risk_phrase,scenario_label,escalation_validity
INT-93810,10/8/2025,CUS-2824,Small Business Elite,Private Wealth,4,VIP Services,Call,AGT-147,11,-0.45,974,Escalated to Trust & Safety,Y,Trust & Safety,Customer,You are not compliant with the law,,Legal_Implied,Valid_Escalation
INT-28289,2/26/2025,CUS-2679,Small Business Elite,Preferred,87,VIP Services,Call,AGT-147,40,0.78,416,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-87397,5/28/2025,CUS-7912,Travel Platinum,Private Wealth,5,Fraud Ops,Call,AGT-101,38,-0.81,1012,Escalated to Trust & Safety,Y,Trust & Safety,Customer,See you in court,,Legal_Inexplicit,Valid_Escalation
INT-76237,5/9/2025,CUS-1434,Everyday Blue,Mass Market,72,Credit Line,Call,AGT-112,19,0.43,2932,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-81426,11/12/2025,CUS-7873,Everyday Blue,Mass Market,29,Collections,Call,AGT-128,53,0.18,3375,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-10851,10/21/2025,CUS-3615,Everyday Blue,Affluent,90,General Inquiry,Chat,AGT-127,3,-0.32,696,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-38221,1/8/2026,CUS-6514,Reserve Infinite,Preferred,14,Card Services,Call,AGT-105,30,-0.24,1530,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-55082,3/20/2025,CUS-5333,Small Business Elite,Private Wealth,104,Transaction Disputes,Call,AGT-102,11,0.46,2256,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-26361,7/21/2025,CUS-7201,Travel Platinum,Preferred,11,Account Access,Chat,AGT-135,5,-0.41,2634,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-91070,2/27/2025,CUS-6925,Reserve Infinite,Preferred,74,Account Access,Call,AGT-112,32,0.41,247,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-96673,5/7/2025,CUS-4733,Travel Platinum,Mass Market,99,Tech Support,Call,AGT-118,18,0.97,3563,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-40512,8/20/2025,CUS-2654,Everyday Blue,Mass Market,49,General Inquiry,Call,AGT-117,36,-0.09,3476,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-57819,2/26/2025,CUS-3664,Reserve Infinite,Private Wealth,48,Tech Support,Chat,AGT-122,4,-0.58,1153,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-99593,4/30/2025,CUS-2169,Everyday Blue,Preferred,78,Card Services,Chat,AGT-140,17,-0.66,3046,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-42087,10/12/2025,CUS-3677,Reserve Infinite,Mass Market,60,Fraud Ops,Call,AGT-124,7,-0.58,2681,Duplicate Ticket Exists,N,None,Customer,,You are useless,Risk_Abuse,Missed_Escalation
INT-83000,9/3/2025,CUS-4598,Everyday Blue,Preferred,88,Tech Support,Call,AGT-120,42,0.69,3238,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-17331,5/8/2025,CUS-4752,Everyday Blue,Private Wealth,106,VIP Services,Chat,AGT-102,22,0.61,1703,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-45093,9/20/2025,CUS-2084,Small Business Elite,Mass Market,28,Collections,Call,AGT-136,27,0.75,1348,Customer Education,N,None,None,,,Normal,No_Escalation_Required
INT-37869,12/9/2025,CUS-9179,Everyday Blue,Private Wealth,51,VIP Services,Call,AGT-141,23,-0.08,1144,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-28301,2/19/2025,CUS-5040,Everyday Blue,Private Wealth,96,Credit Line,Call,AGT-135,45,0.08,3119,Duplicate Ticket Exists,N,None,Agent,,,Normal,No_Escalation_Required
INT-86622,12/8/2025,CUS-8019,Small Business Elite,Preferred,115,Account Access,Chat,AGT-137,41,-0.2,958,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-28131,10/29/2025,CUS-9348,Travel Platinum,Mass Market,64,Transaction Disputes,Call,AGT-105,13,0.51,3587,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-24371,6/21/2025,CUS-3504,Travel Platinum,Private Wealth,81,Credit Line,Call,AGT-110,23,0.58,1789,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-88172,4/14/2025,CUS-2040,Small Business Elite,Affluent,50,Tech Support,Call,AGT-124,11,0.19,1977,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
